===============Parse Tree=============================
Lexeme: eps, LineNo: 2, TokenName: eps, ValueOfNumber: ----, parentNodeSymbol: otherFunctions, isLeafNode: YES, NodeSymbol: eps
Lexeme: ----, LineNo: ----, TokenName: otherFunctions, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: otherFunctions
Lexeme: ----, LineNo: ----, TokenName: program, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: program
Lexeme: _main, LineNo: 2, TokenName: _main, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: YES, NodeSymbol: TK_MAIN
Lexeme: ----, LineNo: ----, TokenName: mainFunction, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: mainFunction
Lexeme: eps, LineNo: 3, TokenName: eps, ValueOfNumber: ----, parentNodeSymbol: typeDefinitions, isLeafNode: YES, NodeSymbol: eps
Lexeme: ----, LineNo: ----, TokenName: typeDefinitions, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: typeDefinitions
Lexeme: ----, LineNo: ----, TokenName: stmts, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: NO, NodeSymbol: stmts
Lexeme: eps, LineNo: 3, TokenName: eps, ValueOfNumber: ----, parentNodeSymbol: declarations, isLeafNode: YES, NodeSymbol: eps
Lexeme: ----, LineNo: ----, TokenName: declarations, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: declarations
Lexeme: eps, LineNo: 3, TokenName: eps, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: YES, NodeSymbol: eps
Lexeme: ----, LineNo: ----, TokenName: otherStmts, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: otherStmts
Lexeme: return, LineNo: 3, TokenName: return, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: YES, NodeSymbol: TK_RETURN
Lexeme: ----, LineNo: ----, TokenName: returnStmt, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: returnStmt
Lexeme: eps, LineNo: 3, TokenName: eps, ValueOfNumber: ----, parentNodeSymbol: optionalReturn, isLeafNode: YES, NodeSymbol: eps
Lexeme: ----, LineNo: ----, TokenName: optionalReturn, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: NO, NodeSymbol: optionalReturn
Lexeme: ;, LineNo: 3, TokenName: ;, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: YES, NodeSymbol: TK_SEM
Lexeme: end, LineNo: 4, TokenName: end, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: YES, NodeSymbol: TK_END

======================================================
